name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"WHITTAKER, RICHARD",H,House,DEM,DEMOCRATIC PARTY,AK,0,0,{00},{1980},{1980},C,,,3/30/02 0:00,6/16/80,6/16/80,6/16/80,H0AK00014,1980,f,
"GREENE, CLIFFORD MARK",H,House,DEM,DEMOCRATIC PARTY,AK,0,0,"{00,00}","{2000,2002}","{2000,2002,2004}",N,C,Challenger,4/7/02 0:00,9/11/00,7/31/02,7/31/02,H0AK00055,2002,f,
"CRAWFORD, HARRY T JR",H,House,DEM,DEMOCRATIC PARTY,AK,0,0,{00},{2010},"{2010,2012}",P,C,Challenger,2/24/11 10:53,9/8/09,9/8/09,9/8/09,H0AK00089,2010,f,
"COX, JOHN R.",H,House,REP,REPUBLICAN PARTY,AK,0,0,"{00,00,00}","{2010,2012,2014}","{2010,2012,2014,2016}",N,C,Challenger,6/18/14 22:09,7/19/12,7/19/12,7/19/12,H0AK00097,2014,f,
"PARNELL, KEVIN ""PAT""",H,House,DEM,DEMOCRATIC PARTY,AK,1,1,{00},{1980},"{1980,1982,1984,1986}",P,C,Challenger,3/30/02 0:00,11/16/79,1/31/80,11/26/79,H0AK01012,1980,f,
"DEVENS, JOHN S",H,House,DEM,DEMOCRATIC PARTY,AK,0,0,"{00,00}","{1990,1992}","{1990,1992,1994,1996,1998}",P,C,Challenger,4/3/02 0:00,3/6/90,11/5/91,11/5/91,H0AK01020,1992,f,
"FISHER, SHELDON ALLRED",H,House,REP,REPUBLICAN PARTY,AK,0,0,{00},{2010},{2010},C,C,Challenger,7/20/10 23:11,2/1/10,2/1/10,2/1/10,H0AK01038,2010,f,
"BOZEMAN, MARTHA RENEE",H,House,UNK,UNKNOWN,AL,7,7,{07},{2010},"{2010,2012}",C,O,Open seat,2/1/12 21:41,7/15/09,8/4/09,7/15/09,H0AL00016,2010,f,
"GOUNARES, PETER HUNTER",H,House,REP,REPUBLICAN PARTY,AL,1,1,"{01,01}","{2010,2012}","{2010,2012}",C,C,Challenger,2/29/12 21:49,2/27/09,11/15/11,11/15/11,H0AL01030,2012,f,
"WALTER, DAVID MARSH",H,House,CON,CONSTITUTION PARTY,AL,1,1,{01},{2010},{2010},C,C,Challenger,1/31/12 21:44,7/9/10,7/9/10,7/9/10,H0AL01048,2010,f,
"CARL, JERRY LEE, JR",H,House,REP,REPUBLICAN PARTY,AL,1,1,{01},{2020},{2020},C,O,Open seat,5/15/19 21:19,2/26/19,2/26/19,2/26/19,H0AL01055,2020,f,
"LAMBERT, DOUGLAS WESTLEY III",H,House,REP,REPUBLICAN PARTY,AL,1,1,{01},{2020},{2020},N,O,Open seat,6/10/19 21:08,4/2/19,4/2/19,4/2/19,H0AL01063,2020,f,
"HIGHTOWER, BILL",H,House,REP,REPUBLICAN PARTY,AL,1,1,{01},{2020},{2020},N,O,Open seat,6/10/19 21:08,4/17/19,4/17/19,4/17/19,H0AL01089,2020,f,
"WYATT, CECIL",H,House,DEM,DEMOCRATIC PARTY,AL,2,2,{02},{1980},{1980},C,,,3/30/02 0:00,9/12/80,9/12/80,9/12/80,H0AL02012,1980,f,
"BAGGIANO, FAYE S",H,House,DEM,DEMOCRATIC PARTY,AL,2,2,"{02,02}","{1990,1992}","{1990,1992}",C,O,Open seat,3/30/02 0:00,4/25/90,4/15/92,4/15/92,H0AL02046,1992,f,
